block0;1;1;1,0,0;2=2%0,-2=-1%0,-2=-1%0,4=4%0,304=2%0,24=2%0,1=7%0;61.2184240067299,1461.44622981605,0|1,0,0|0,1,0
block1;1;1;1,1.60982338570648E-14,0;-1=-1%0,-1=-1%0,-2=-1%0,-2=-1%0,-1=-1%0,-2=-1%0,-1=-1%0,0=6%0;-298.900855254753,2071.56526178455,-2.8421709430404E-14|1,1.60982338570648E-14,0|-1.60982338570648E-14,1,0
block1;1;1;-1,0,0;21=2%0,3=3%0,0=0%0,-2=-1%0,8=5%0,-2=-1%0,6=7%0,-2=-1%0;1326.09914146458,1571.56527643315,5.6843418860808E-14|-1,0,0|0,1,-1.22460635382238E-16
block1;1;1;0,-1.83690953073357E-16,-1;12=5%0,40=3%0,32=5%0,2=1%0,71=5%0,-1=-1%0,-1=-1%0,-1=-1%0;2451.09937320432,1259.06522471837,62.4995325913269|0,-1.83690953073357E-16,-1|-1,0,0
block1;1;1;0,6.12303176911189E-17,-1;-1=-1%0,15=2%0,19=5%0,5=5%0,0=3%0,-1=-1%0,-1=-1%0,-1=-1%0;-548.900619471381,1259.06522471837,562.49999835966|0,6.12303176911189E-17,-1|-1,0,0
block1;1;1;0,6.12303176911189E-17,-1;10=3%0,13=4%0,22=3%0,39=4%0,-1=-1%0,4=3%0,-2=-1%0,-1=-1%0;-1548.90061214708,1259.06522471837,62.5004641279947|0,6.12303176911189E-17,-1|-1,0,0
block1;1;1;-1,0,0;-2=-1%0,41=2%0,-2=-1%0,7=5%0,-1=-1%0,-1=-1%0,-1=-1%0,2=6%0;1826.09960723291,2071.56526178455,0|-1,0,0|0,1,-1.22460635382238E-16
block1;1;1;1,1.49966072182214E-32,1.22460635382238E-16;9=2%0,-2=-1%0,17=5%0,16=5%0,-2=-1%0,6=3%0,-1=-1%0,-1=-1%0;2201.10007628192,3071.56525446025,-1.4210854715202E-13|1,1.49966072182214E-32,1.22460635382238E-16|0,1,-1.22460635382238E-16
block1;1;1;1,0,0;11=3%0,-1=-1%0,26=5%0,-2=-1%0,-1=-1%0,2=4%0,-1=-1%0,-1=-1%0;1201.09914474525,946.565285512224,1.13686837721616E-13|1,0,0|0,-1,1.22460635382238E-16
block1;1;1;0,-1,1.22460635382238E-16;-2=-1%0,75=5%0,7=0%0,18=5%0,90=5%0,-2=-1%0,-1=-1%0,-1=-1%0;2763.59960887325,4321.56501715099,187.500230099408|0,-1,1.22460635382238E-16|1.83690953073357E-16,-1.22460635382238E-16,-1
block1;1;1;0,1,1.22460635382238E-16;93=1%0,73=5%0,161=4%0,5=0%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;-2423.90060657756,1196.56569212704,-499.999068463332|0,1,1.22460635382238E-16|1,0,0
block1;1;1;-1,0,0;-1=-1%0,123=3%0,-2=-1%0,8=0%0,-1=-1%0,-2=-1%0,-1=-1%0,-1=-1%0;1826.09820992791,71.5652910817427,2.27373675443232E-13|-1,0,0|0,1,-1.22460635382238E-16
block1;1;1;0,-1,1.22460635382238E-16;-2=-1%0,38=4%0,46=3%0,14=4%0,51=5%0,3=0%0,-2=-1%0,-1=-1%0;1451.09938052862,821.56522307803,-500|0,-1,1.22460635382238E-16|-1,0,0
block1;1;1;1,-1.22460635382238E-16,-7.49830360911069E-33;43=1%0,33=3%0,-1=-1%0,-1=-1%0,5=1%0,-2=-1%0,-1=-1%0,-1=-1%0;-1798.90055879196,1259.06522471837,812.500694112961|1,-1.22460635382238E-16,-7.49830360911069E-33|0,-6.12303176911189E-17,1
block1;1;1;0,-1,1.22460635382238E-16;27=4%0,20=5%0,35=5%0,-2=-1%0,12=3%0,-2=-1%0,-1=-1%0,-1=-1%0;951.099387852919,1321.56568884636,-500|0,-1,1.22460635382238E-16|-1,0,0
